gene,p,q,fc,pct.in,pct.rest,Identity
Grb10,2.51195084845437e-70,2.0095606787635e-69,2.84754793758659,0.815384615384615,0.336456558773424,pancreatic A cell
Nap1l5,1.59426124350623e-119,1.27540899480499e-118,3.59933064255853,0.92051282051282,0.298126064735945,pancreatic A cell
Ndn,9.25371289741088e-58,7.40297031792871e-57,2.30335679859862,0.812820512820513,0.402044293015332,pancreatic A cell
Peg10,3.76587576323031e-25,3.01270061058425e-24,8.88432930881609,0.156410256410256,0.020442930153322,pancreatic A cell
Sgce,6.35669261697095e-36,5.08535409357676e-35,2.49856614993805,0.597435897435897,0.230834752981261,pancreatic A cell
Usp29,6.22558596299528e-51,4.98046877039623e-50,2.85166811915771,0.687179487179487,0.277683134582624,pancreatic A cell
Zdbf2,5.63800946897972e-77,4.51040757518377e-76,2.3453401424462,0.938461538461539,0.461669505962521,pancreatic A cell
Zim1,8.05525571369749e-21,6.44420457095799e-20,2.70165166659831,0.348717948717949,0.137989778534923,pancreatic A cell
Zim3,0.00177499650666672,0.00709998602666688,2.72732259565286,0.0282051282051282,0.00851788756388416,pancreatic A cell
Adam23,2.86260981113683e-06,2.29008784890947e-05,2.30186828378644,0.157142857142857,0.0561797752808989,pancreatic D cell
Mapt,8.20583284273935e-22,3.28233313709574e-21,2.58547671714005,0.628571428571429,0.260533707865169,pancreatic D cell
Mest,2.11782853588915e-40,1.69426282871132e-39,6.56956210110473,0.6,0.172752808988764,pancreatic D cell
Nespas,4.09232542243018e-98,3.27386033794415e-97,50.9221846471096,0.407142857142857,0.0126404494382022,pancreatic D cell
Nnat,1.40034906112289e-72,1.12027924889831e-71,6.89787903929737,0.742857142857143,0.152387640449438,pancreatic D cell
Pde10a,4.57758353822058e-15,3.66206683057646e-14,2.7178119231102,0.421428571428571,0.155898876404494,pancreatic D cell
Plagl1,1.13336776062949e-06,4.53347104251797e-06,2.58590553679764,0.2,0.0800561797752809,pancreatic D cell
Rasgrf1,5.18886500493436e-27,2.07554600197375e-26,3.00532783875158,0.635714285714286,0.239466292134831,pancreatic D cell
Rtl1,3.33954143511417e-06,1.33581657404567e-05,2.60611473456734,0.242857142857143,0.116573033707865,pancreatic D cell
Sgce,1.64262020780932e-14,4.3803205541582e-14,2.16537010861089,0.6,0.294943820224719,pancreatic D cell
Slc22a18,0.00431868931775475,0.017274757271019,2.19225788893509,0.114285714285714,0.0582865168539326,pancreatic D cell
Tnfrsf23,2.86257146873218e-08,1.14502858749287e-07,2.96617441989194,0.257142857142857,0.106039325842697,pancreatic D cell
Usp29,8.28126140901651e-15,3.3125045636066e-14,2.05972413008739,0.671428571428571,0.351123595505618,pancreatic D cell
Zim3,0.000746511371430166,0.00597209097144133,4.47007137032591,0.0428571428571429,0.0105337078651685,pancreatic D cell
Nap1l5,5.4376729532912e-25,2.17506918131648e-24,2.49258095859193,0.945205479452055,0.429242119382965,pancreatic PP cell
Plagl1,1.1016351739466e-08,8.81308139157277e-08,3.3742717998726,0.273972602739726,0.0818242790073776,pancreatic PP cell
Ano1,5.07514190278852e-06,1.35337117407694e-05,3.99533608643546,0.306122448979592,0.115511551155116,stellate cell
B3gnt2,2.49937272674797e-07,9.99749090699189e-07,2.29617601227247,0.653061224489796,0.374917491749175,stellate cell
Cdkn1c,2.84080548302904e-35,2.27264438642323e-34,10.1397478198441,0.63265306122449,0.0976897689768977,stellate cell
Grb10,7.57425485017422e-09,3.02970194006969e-08,2.03295202000088,0.775510204081633,0.445544554455446,stellate cell
Htra3,4.05903041964571e-70,3.24722433571657e-69,64.4378069060019,0.755102040816326,0.067986798679868,stellate cell
Igf2,3.8051256940387e-09,3.04410055523096e-08,10.3383022676509,0.183673469387755,0.031023102310231,stellate cell
Mest,1.2855754362411e-06,5.14230174496441e-06,4.51101249071923,0.428571428571429,0.203960396039604,stellate cell
Osbpl5,6.58454363725971e-06,2.63381745490388e-05,3.10703767602293,0.387755102040816,0.168976897689769,stellate cell
Phactr2,1.01447840461677e-07,4.05791361846708e-07,2.6817712568702,0.551020408163265,0.248844884488449,stellate cell
Sgce,2.0656039960452e-17,8.26241598418082e-17,3.29483008924865,0.775510204081633,0.307590759075908,stellate cell
Smoc2,4.30848089725181e-69,3.44678471780145e-68,86.489134305055,0.714285714285714,0.0600660066006601,stellate cell
Tfpi2,2.20931380197365e-12,1.76745104157892e-11,17.1103546782289,0.142857142857143,0.0132013201320132,stellate cell
Tgfb1i1,1.11272229011553e-75,8.90177832092424e-75,18.8552860659822,0.73469387755102,0.0528052805280528,stellate cell
Thbs2,1.29972596674141e-30,1.03978077339313e-29,58.3500514523599,0.26530612244898,0.0158415841584158,stellate cell
